long_name,short_name
A/AUCKLAND/5/96,A/AU/5/96
A/BILTHOVEN/16190/68,A/BI/16190/68
A/BILTHOVEN/1761/76,A/BI/1761/76
A/BILTHOVEN/21793/72,A/BI/21793/72
A/BILTHOVEN/2271/76,A/BI/2271/76
A/BRISBANE/10/2007,A/BR/10/07
A/FUJIAN/140/2000,A/FU/140/00
A/FUJIAN/411/02,A/FU/411/02
A/HANAM/201/2009,A/HA/201/09
A/HANAM/206/2009,A/HA/206/09
A/NANCHANG/933/95,A/NA/933/95
A/NETHERLANDS/179/93,A/NL/179/93
A/NETHERLANDS/233/82,A/NL/233/82
A/NETHERLANDS/301/99,A/NL/301/99
A/NETHERLANDS/620/89,A/NL/620/89
A/NETHERLANDS/823/92,A/NL/823/92
A/NEW_YORK/55/2004,A/NY/55/04
A/NEWCALEDONIA/12/2004,A/NC/12/04
A/PERTH/16/2009,A/PE/16/09
A/PERTH/9/97,A/PE/9/97
A/PHILIPPINES/472/2002,A/PH/472/02
A/SHANDONG/9/93,A/SH/9/93
A/SOUTH_AUSTRALIA/84/2002,A/SA/84/02
A/TASMANIA/1/97,A/TS/1/97
A/TOWNSVILLE/2/99,A/TV/2/99
A/VICTORIA/1/93,A/VC/1/93
A/VICTORIA/361/2011,A/VC/361/11
A/VICTORIA/47/97,A/VC/47/97
A/VICTORIA/500/2009,A/VC/500/09
A/VICTORIA/577/99,A/VC/577/99
A/VICTORIA/8/2010,A/VC/8/10
A/VIETNAM/15/EL134/2008,A/VN/15/EL134/08
A/VIETNAM/21/EL444/2010,A/VN/21/EL444/10
A/WELLINGTON/96/93,A/WE/96/93
A/WISCONSIN/67/2005,A/WI/67/05
A/WYOMING/3/2003,A/WY/3/03
PROTOTYPE_RG145K_A/NETHERLANDS/178/95,A/NL/178/95-P
A/BEIJING/32/92,A/BE/32/92
A/BRISBANE/3/2005,A/BR/3/05
A/CANBERRA/1/96,A/CN/1/96
A/CHRISTCHURCH/1/96,A/CH/1/96
A/HANAM/196/2009,A/HA/196/09
A/JOHANNESBURG/33/94,A/JO/33/94
A/PANAMA/2007/99,A/PA/2007/99
A/SYDNEY/5/97,A/SY/5/97
A/URUGUAY/716/2007,A/UR/716/07
A/VICTORIA/208/2009,A/VI/208/09
A/VICTORIA/523/2004,A/VI/523/04
A/VIETNAM/16/EL135/2008,A/VN/16/EL135/08
A/VIETNAM/17/EL140/2008,A/VN/17/EL140/08
A/VIETNAM/18/EL204/2009,A/VN/18/EL204/09
A/VIETNAM/19/EL442/2010,A/VN/19/EL442/10
A/VIETNAM/20/EL443/2010,A/VN/20/EL443/10
A/VIETNAM/53/2010,A/VN/53/10
A/WELLINGTON/1/2004,A/WE/1/04
A/WELLINGTON/25/93,A/WE/25/93
