test_strain,full_name,is_vietnam_strain
BI/16190/68,A/Bilthoven/16190/68,FALSE
BI/21793/72,A/Bilthoven/21793/72,FALSE
BI/1761/76,A/Bilthoven/1761/76,FALSE
BI/2271/76,A/Bilthoven/2271/76,FALSE
NL/233/82,A/Netherlands/233/82,FALSE
NL/620/89,A/Netherlands/620/89,FALSE
NL/823/92,A/Netherlands/823/92,FALSE
NL/179/93,A/Netherlands/179/93,FALSE
JO/33/94,A/Johannesburg/33/94,FALSE
SD/9/93,A/Shandong/9/93,FALSE
A/WELLINGTON/25/93,A/WELLINGTON/25/93,FALSE
A/WELLINGTON/96/93,A/WELLINGTON/96/93,FALSE
A/AUCKLAND/5/96,A/AUCKLAND/5/96,FALSE
A/VICTORIA/47/97,A/VICTORIA/47/97,FALSE
A/CANBERRA/1/96,A/CANBERRA/1/96,FALSE
A/PERTH/9/97,A/PERTH/9/97,FALSE
A/CHRISTCHURCH/1/96,A/CHRISTCHURCH/1/96,FALSE
A/TASMANIA/1/97,A/TASMANIA/1/97,FALSE
NA/933/95,A/Nanchang/933/95,FALSE
NL/301/99,A/Netherlands/301/99,FALSE
A/SYDNEY/5/97,A/SYDNEY/5/97,FALSE
PM/2007/99,A/PANAMA/2007/99,FALSE
A/SOUTH_AUSTRALIA/84/2002,A/SOUTH_AUSTRALIA/84/2002,FALSE
A/FUJIAN/140/2000,A/FUJIAN/140/2000,FALSE
A/TOWNSVILLE/2/99,A/TOWNSVILLE/2/99,FALSE
A/VICTORIA/577/99,A/VICTORIA/577/99,FALSE
A/PHILIPPINES/472/2002,A/PHILIPPINES/472/2002,FALSE
A/WYOMING/3/2003,A/WYOMING/3/2003,FALSE
FU/411/02,A/Fujian/411/02,FALSE
A/NEWCALEDONIA/12/2004,A/NEWCALEDONIA/12/2004,FALSE
A/VICTORIA/523/2004,A/VICTORIA/523/2004,FALSE
A/BRISBANE/3/2005,A/BRISBANE/3/2005,FALSE
A/NEW_YORK/55/2004,A/NEW_YORK/55/2004,FALSE
A/BRISBANE/10/2007,A/BRISBANE/10/2007,FALSE
A/WISCONSIN/67/2005,A/WISCONSIN/67/2005,FALSE
A/VICTORIA/500/2009,A/VICTORIA/500/2009,FALSE
A/URUGUAY/716/2007,A/URUGUAY/716/2007,FALSE
A/VICTORIA/208/2009,A/VICTORIA/208/2009,FALSE
A/VICTORIA/8/2010,A/VICTORIA/8/2010,FALSE
A/PERTH/16/2009,A/PERTH/16/2009,FALSE
A/VICTORIA/361/2011,A/VICTORIA/361/2011,FALSE
A/WELLINGTON/1/2004,A/WELLINGTON/1/2004,FALSE
A/BEIJING/32/92,A/BEIJING/32/92,FALSE
A/VICTORIA/1/93,A/VICTORIA/1/93,FALSE
PROTOTYPE_RG145K_A/NETHERLANDS/178/95,PROTOTYPE_RG145K_A/NETHERLANDS/178/95,FALSE
VN015/EL134/2008,A/Vietnam/15/EL134/2008,TRUE
VN016/EL135/2008,A/Vietnam/16/EL135/2008,TRUE
VN017/EL140/2008,A/Vietnam/17/EL140/2008,TRUE
HN196/2009,A/Hanam/196/2009,TRUE
HN201/2009,A/Hanam/201/2009,TRUE
VN018/EL204/2009,A/Vietnam/18/EL204/2009,TRUE
HN206/2009,A/Hanam/206/2009,TRUE
VN019/EL442/2010,A/Vietnam/19/EL442/2010,TRUE
VN020/EL443/2010,A/Vietnam/20/EL443/2010,TRUE
VN021/EL444/2010,A/Vietnam/21/EL444/2010,TRUE
VN053/2010,A/Vietnam/53/2010,TRUE
