strain1,strain2,ferret_distance
A/BILTHOVEN/16190/68,A/BILTHOVEN/16190/68,0
A/BILTHOVEN/16190/68,A/BILTHOVEN/21793/72,2.525993854802514
A/BILTHOVEN/16190/68,A/BILTHOVEN/1761/76,6.659896577650465
A/BILTHOVEN/16190/68,A/BILTHOVEN/2271/76,8.590320205719932
A/BILTHOVEN/16190/68,A/NETHERLANDS/233/82,11.230052815962196
A/BILTHOVEN/16190/68,A/NETHERLANDS/620/89,13.392719975363523
A/BILTHOVEN/16190/68,A/NETHERLANDS/823/92,17.842204760286776
A/BILTHOVEN/16190/68,A/NETHERLANDS/179/93,18.151003339947902
A/BILTHOVEN/16190/68,A/WELLINGTON/1/94,18.90219762054403
A/BILTHOVEN/16190/68,A/BRISBANE/22/94,19.19920262986204
A/BILTHOVEN/16190/68,A/JOHANNESBURG/33/94,18.42075283309835
A/BILTHOVEN/16190/68,A/SHANDONG/9/93,17.805075003933617
A/BILTHOVEN/16190/68,A/WELLINGTON/25/93,19.11468337106585
A/BILTHOVEN/16190/68,A/WELLINGTON/96/93,16.932789456096753
A/BILTHOVEN/16190/68,A/VICTORIA/9/94,18.926825968040742
A/BILTHOVEN/16190/68,A/BRISBANE/22/96,19.630872948865566
A/BILTHOVEN/16190/68,A/WUHAN/359/95,19.4468685104929
A/BILTHOVEN/16190/68,A/WELLINGTON/48/96,20.241617523607175
A/BILTHOVEN/16190/68,A/AUCKLAND/5/96,16.632073428099705
A/BILTHOVEN/16190/68,A/VICTORIA/47/97,18.630093193296158
A/BILTHOVEN/16190/68,A/CANBERRA/1/96,16.119124016521493
A/BILTHOVEN/16190/68,A/PERTH/5/97,19.734678039899705
A/BILTHOVEN/16190/68,A/PERTH/9/97,21.08632306349308
A/BILTHOVEN/16190/68,A/BANGKOK/1/97,18.57166698512552
A/BILTHOVEN/16190/68,A/CHRISTCHURCH/1/96,21.325590245280456
A/BILTHOVEN/16190/68,A/TASMANIA/1/97,20.1806685534573
A/BILTHOVEN/16190/68,A/NANCHANG/933/95,19.52308416823532
A/BILTHOVEN/16190/68,A/NETHERLANDS/301/99,26.126489873628262
A/BILTHOVEN/16190/68,A/CANBERRA/9/97,25.925554608933673
A/BILTHOVEN/16190/68,A/SYDNEY/5/97,26.074553039781932
A/BILTHOVEN/16190/68,A/PANAMA/2007/99,26.73004498308598
