virusIsolate,virusStrain,virusYear,serumIsolate,serumStrain,serumYear,titer,source
BI/15793/68,A/Bilthoven/15793/1968,1968,HK/1/68,A/HongKong/1/1968,1968,354,Smith2004
BI/15793/68,A/Bilthoven/15793/1968,1968,EN/42/72,A/England/42/1972,1972,501,Smith2004
BI/15793/68,A/Bilthoven/15793/1968,1968,PC/1/73,A/PortChalmers/1/1973,1973,109,Smith2004
BI/15793/68,A/Bilthoven/15793/1968,1968,VI/3A/75,A/Victoria/3/1975,1975,63,Smith2004
BI/15793/68,A/Bilthoven/15793/1968,1968,LE/360/86,A/Leningrad/360/1986,1986,<10,Smith2004
BI/15793/68,A/Bilthoven/15793/1968,1968,TE/1A/77,A/Texas/1/1977,1977,<20,Smith2004
BI/15793/68,A/Bilthoven/15793/1968,1968,NL/330/85,A/Netherlands/330/1985,1985,<10,Smith2004
BI/15793/68,A/Bilthoven/15793/1968,1968,BA/1/79,A/Bangkok/1/1979,1979,<10,Smith2004
BI/15793/68,A/Bilthoven/15793/1968,1968,PH/2/82,A/Philippines/2/1982,1982,<10,Smith2004
BI/15793/68,A/Bilthoven/15793/1968,1968,WE/4/85,A/Wellington/4/1985,1985,<10,Smith2004
BI/15793/68,A/Bilthoven/15793/1968,1968,EN/496/80,A/England/496/1980,1980,<10,Smith2004
BI/16190/68,A/Bilthoven/16190/1968,1968,HK/1/68,A/HongKong/1/1968,1968,640,Smith2004
BI/16190/68,A/Bilthoven/16190/1968,1968,EN/42/72,A/England/42/1972,1972,320,Smith2004
BI/16190/68,A/Bilthoven/16190/1968,1968,PC/1/73,A/PortChalmers/1/1973,1973,80,Smith2004
BI/16190/68,A/Bilthoven/16190/1968,1968,SL/840/74,A/Scotland/840/1974,1974,40,Smith2004
BI/16190/68,A/Bilthoven/16190/1968,1968,VI/3A/75,A/Victoria/3/1975,1975,40,Smith2004
BI/16190/68,A/Bilthoven/16190/1968,1968,BI/21793/72,A/Bilthoven/21793/1972,1972,640,Smith2004
BI/16190/68,A/Bilthoven/16190/1968,1968,BI/5930/74,A/Bilthoven/5930/1974,1974,320,Smith2004
BI/16190/68,A/Bilthoven/16190/1968,1968,AM/1609/77,A/Amsterdam/1609/1977,1977,<10,Smith2004
BI/16190/68,A/Bilthoven/16190/1968,1968,BI/2461/78,A/Bilthoven/2461/1978,1978,<10,Smith2004
BI/16190/68,A/Bilthoven/16190/1968,1968,RD/577/80,A/Rotterdam/577/1980,1980,<10,Smith2004
BI/16190/68,A/Bilthoven/16190/1968,1968,NL/209/80,A/Netherlands/209/1980,1980,<10,Smith2004
BI/16190/68,A/Bilthoven/16190/1968,1968,NL/233/82,A/Netherlands/233/1982,1982,<10,Smith2004
BI/16190/68,A/Bilthoven/16190/1968,1968,NL/241/82,A/Netherlands/241/1982,1982,<10,Smith2004
BI/16190/68,A/Bilthoven/16190/1968,1968,NL/330/85,A/Netherlands/330/1985,1985,<10,Smith2004
BI/16190/68,A/Bilthoven/16190/1968,1968,ST/10/85,A/Stockholm/10/1985,1985,<10,Smith2004
BI/16190/68,A/Bilthoven/16190/1968,1968,VI/2/90,A/Victoria/2/1990,1990,<10,Smith2004
BI/16190/68,A/Bilthoven/16190/1968,1968,LY/1149/91,A/Lyon/1149/1991,1991,<10,Smith2004
BI/16190/68,A/Bilthoven/16190/1968,1968,MA/G252/93,A/Madrid/G252/1993,1993,<10,Smith2004
BI/16190/68,A/Bilthoven/16190/1968,1968,NL/1/95,A/Netherlands/1/1995,1995,<10,Smith2004
BI/16190/68,A/Bilthoven/16190/1968,1968,NL/218/95,A/Netherlands/218/1995,1995,<10,Smith2004
BI/16190/68,A/Bilthoven/16190/1968,1968,NL/172/96,A/Netherlands/172/1996,1996,<10,Smith2004
BI/16398/68,A/Bilthoven/16398/1968,1968,HK/1/68,A/HongKong/1/1968,1968,1163,Smith2004
BI/16398/68,A/Bilthoven/16398/1968,1968,EN/42/72,A/England/42/1972,1972,1163,Smith2004
BI/16398/68,A/Bilthoven/16398/1968,1968,PC/1/73,A/PortChalmers/1/1973,1973,291,Smith2004
BI/16398/68,A/Bilthoven/16398/1968,1968,SL/840/74,A/Scotland/840/1974,1974,73,Smith2004
BI/16398/68,A/Bilthoven/16398/1968,1968,VI/3A/75,A/Victoria/3/1975,1975,89,Smith2004
BI/16398/68,A/Bilthoven/16398/1968,1968,TE/1A/77,A/Texas/1/1977,1977,<20,Smith2004
BI/16398/68,A/Bilthoven/16398/1968,1968,AM/1609/77,A/Amsterdam/1609/1977,1977,<20,Smith2004
BI/16398/68,A/Bilthoven/16398/1968,1968,BI/2461/78,A/Bilthoven/2461/1978,1978,<20,Smith2004
BI/16398/68,A/Bilthoven/16398/1968,1968,VI/7/87,A/Victoria/7/1987,1987,<20,Smith2004
BI/16398/68,A/Bilthoven/16398/1968,1968,TE/1B/77,A/Texas/1/1977,1977,35,Smith2004
BI/16398/68,A/Bilthoven/16398/1968,1968,BA/2/79,A/Bangkok/2/1979,1979,<20,Smith2004
BI/16398/68,A/Bilthoven/16398/1968,1968,EN/496/80,A/England/496/1980,1980,<20,Smith2004
BI/16398/68,A/Bilthoven/16398/1968,1968,CE/1B/84,A/Caen/1/1984,1984,<20,Smith2004
BI/16398/68,A/Bilthoven/16398/1968,1968,CO/2/86,A/Colorado/2/1986,1986,<20,Smith2004
BI/16398/68,A/Bilthoven/16398/1968,1968,BE/353/89,A/Beijing/353/1989,1989,<20,Smith2004
BI/16398/68,A/Bilthoven/16398/1968,1968,VI/3C/75,A/Victoria/3/1975,1975,<20,Smith2004
HK/1/68,A/HongKong/1/1968,1968,HK/1/68,A/HongKong/1/1968,1968,1280,Smith2004
HK/1/68,A/HongKong/1/1968,1968,EN/42/72,A/England/42/1972,1972,2560,Smith2004
HK/1/68,A/HongKong/1/1968,1968,PC/1/73,A/PortChalmers/1/1973,1973,53,Smith2004
HK/1/68,A/HongKong/1/1968,1968,SL/840/74,A/Scotland/840/1974,1974,<10,Smith2004
HK/1/68,A/HongKong/1/1968,1968,LE/360/86,A/Leningrad/360/1986,1986,<10,Smith2004
HK/1/68,A/HongKong/1/1968,1968,NL/1/95,A/Netherlands/1/1995,1995,<10,Smith2004
HK/1/68,A/HongKong/1/1968,1968,NL/218/95,A/Netherlands/218/1995,1995,<10,Smith2004
HK/1/68,A/HongKong/1/1968,1968,NL/172/96,A/Netherlands/172/1996,1996,<10,Smith2004
HK/1/68,A/HongKong/1/1968,1968,BA/1/79,A/Bangkok/1/1979,1979,<10,Smith2004
HK/1/68,A/HongKong/1/1968,1968,TE/1B/77,A/Texas/1/1977,1977,<10,Smith2004
HK/1/68,A/HongKong/1/1968,1968,SH/11/87,A/Shanghai/11/1987,1987,<10,Smith2004
HK/1/68,A/HongKong/1/1968,1968,GD/25/93,A/Guangdong/25/1993,1993,<10,Smith2004
HK/1/68,A/HongKong/1/1968,1968,JO/33/94,A/Johannesburg/33/1994,1994,<10,Smith2004
HK/1/68,A/HongKong/1/1968,1968,NL/47/95,A/Netherlands/47/1995,1995,<10,Smith2004
HK/1/68,A/HongKong/1/1968,1968,"NA/933/95",A/Nanchang/933/1995,1995,<10,Smith2004
HK/1/68,A/HongKong/1/1968,1968,LY/2279/95,A/Lyon/2279/1995,1995,<10,Smith2004
HK/1/68,A/HongKong/1/1968,1968,SP/1/96,A/Singapore/1/1996,1996,<10,Smith2004
HK/1/68,A/HongKong/1/1968,1968,AU/10/97,A/Auckland/10/1997,1997,<10,Smith2004
HK/1/68,A/HongKong/1/1968,1968,NL/5/98,A/Netherlands/5/1998,1998,<10,Smith2004
HK/1/68,A/HongKong/1/1968,1968,VI/3C/75,A/Victoria/3/1975,1975,<10,Smith2004
HK/1/68,A/HongKong/1/1968,1968,NL/18/94,A/Netherlands/18/1994,1994,<10,Smith2004
HK/1/68,A/HongKong/1/1968,1968,HK/107/71,A/HongKong/107/1971,1971,1280,Smith2004
HK/1/68,A/HongKong/1/1968,1968,PH/2V/82,A/Philippines/2/1982,1982,<10,Smith2004
HK/1/68,A/HongKong/1/1968,1968,BE/32V/92,A/Beijing/32/1992,1992,<10,Smith2004
HK/1/68,A/HongKong/1/1968,1968,NL/286/97,A/Netherlands/286/1997,1997,<10,Smith2004
HK/1/68,A/HongKong/1/1968,1968,SY/5V/97,A/Sydney/5/1997,1997,<10,Smith2004
BI/808/69,A/Bilthoven/808/1969,1969,HK/1/68,A/HongKong/1/1968,1968,320,Smith2004
BI/808/69,A/Bilthoven/808/1969,1969,EN/42/72,A/England/42/1972,1972,640,Smith2004
BI/808/69,A/Bilthoven/808/1969,1969,PC/1/73,A/PortChalmers/1/1973,1973,120,Smith2004
BI/808/69,A/Bilthoven/808/1969,1969,SL/840/74,A/Scotland/840/1974,1974,80,Smith2004
BI/808/69,A/Bilthoven/808/1969,1969,VI/3A/75,A/Victoria/3/1975,1975,160,Smith2004
BI/808/69,A/Bilthoven/808/1969,1969,LE/360/86,A/Leningrad/360/1986,1986,<10,Smith2004
BI/908/69,A/Bilthoven/908/1969,1969,HK/1/68,A/HongKong/1/1968,1968,1280,Smith2004
BI/908/69,A/Bilthoven/908/1969,1969,EN/42/72,A/England/42/1972,1972,640,Smith2004
BI/908/69,A/Bilthoven/908/1969,1969,PC/1/73,A/PortChalmers/1/1973,1973,80,Smith2004
BI/908/69,A/Bilthoven/908/1969,1969,SL/840/74,A/Scotland/840/1974,1974,40,Smith2004
BI/908/69,A/Bilthoven/908/1969,1969,VI/3A/75,A/Victoria/3/1975,1975,57,Smith2004
BI/908/69,A/Bilthoven/908/1969,1969,LE/360/86,A/Leningrad/360/1986,1986,<10,Smith2004
BI/908/69,A/Bilthoven/908/1969,1969,TE/1A/77,A/Texas/1/1977,1977,<20,Smith2004
BI/908/69,A/Bilthoven/908/1969,1969,AM/1609/77,A/Amsterdam/1609/1977,1977,<20,Smith2004
BI/908/69,A/Bilthoven/908/1969,1969,BI/2461/78,A/Bilthoven/2461/1978,1978,<20,Smith2004
BI/908/69,A/Bilthoven/908/1969,1969,VI/7/87,A/Victoria/7/1987,1987,<20,Smith2004
BI/908/69,A/Bilthoven/908/1969,1969,TE/1B/77,A/Texas/1/1977,1977,60,Smith2004
BI/908/69,A/Bilthoven/908/1969,1969,BA/2/79,A/Bangkok/2/1979,1979,<20,Smith2004
BI/908/69,A/Bilthoven/908/1969,1969,EN/496/80,A/England/496/1980,1980,<20,Smith2004
BI/908/69,A/Bilthoven/908/1969,1969,CE/1B/84,A/Caen/1/1984,1984,<20,Smith2004
BI/908/69,A/Bilthoven/908/1969,1969,CO/2/86,A/Colorado/2/1986,1986,<20,Smith2004
BI/908/69,A/Bilthoven/908/1969,1969,BE/353/89,A/Beijing/353/1989,1989,<20,Smith2004
BI/908/69,A/Bilthoven/908/1969,1969,VI/3C/75,A/Victoria/3/1975,1975,<20,Smith2004
BI/17938/69,A/Bilthoven/17938/1969,1969,HK/1/68,A/HongKong/1/1968,1968,554,Smith2004
BI/17938/69,A/Bilthoven/17938/1969,1969,EN/42/72,A/England/42/1972,1972,453,Smith2004
BI/17938/69,A/Bilthoven/17938/1969,1969,PC/1/73,A/PortChalmers/1/1973,1973,113,Smith2004
BI/17938/69,A/Bilthoven/17938/1969,1969,SL/840/74,A/Scotland/840/1974,1974,42,Smith2004
BI/17938/69,A/Bilthoven/17938/1969,1969,VI/3A/75,A/Victoria/3/1975,1975,46,Smith2004
BI/17938/69,A/Bilthoven/17938/1969,1969,LE/360/86,A/Leningrad/360/1986,1986,<10,Smith2004
BI/17938/69,A/Bilthoven/17938/1969,1969,TE/1A/77,A/Texas/1/1977,1977,<20,Smith2004
BI/17938/69,A/Bilthoven/17938/1969,1969,AM/1609/77,A/Amsterdam/1609/1977,1977,<20,Smith2004
BI/17938/69,A/Bilthoven/17938/1969,1969,BI/2461/78,A/Bilthoven/2461/1978,1978,<20,Smith2004
BI/17938/69,A/Bilthoven/17938/1969,1969,NL/330/85,A/Netherlands/330/1985,1985,<10,Smith2004
BI/17938/69,A/Bilthoven/17938/1969,1969,BA/1/79,A/Bangkok/1/1979,1979,<10,Smith2004
BI/17938/69,A/Bilthoven/17938/1969,1969,PH/2/82,A/Philippines/2/1982,1982,<10,Smith2004
BI/17938/69,A/Bilthoven/17938/1969,1969,VI/7/87,A/Victoria/7/1987,1987,<20,Smith2004
BI/17938/69,A/Bilthoven/17938/1969,1969,TE/1B/77,A/Texas/1/1977,1977,25,Smith2004
BI/17938/69,A/Bilthoven/17938/1969,1969,BA/2/79,A/Bangkok/2/1979,1979,<20,Smith2004
BI/17938/69,A/Bilthoven/17938/1969,1969,EN/496/80,A/England/496/1980,1980,<20,Smith2004
BI/17938/69,A/Bilthoven/17938/1969,1969,CE/1B/84,A/Caen/1/1984,1984,<20,Smith2004
BI/17938/69,A/Bilthoven/17938/1969,1969,CO/2/86,A/Colorado/2/1986,1986,<20,Smith2004
BI/17938/69,A/Bilthoven/17938/1969,1969,BE/353/89,A/Beijing/353/1989,1989,<20,Smith2004
BI/17938/69,A/Bilthoven/17938/1969,1969,VI/3C/75,A/Victoria/3/1975,1975,<20,Smith2004
BI/93/70,A/Bilthoven/93/1970,1970,HK/1/68,A/HongKong/1/1968,1968,1109,Smith2004
BI/93/70,A/Bilthoven/93/1970,1970,EN/42/72,A/England/42/1972,1972,640,Smith2004
BI/93/70,A/Bilthoven/93/1970,1970,SL/840/74,A/Scotland/840/1974,1974,57,Smith2004
BI/93/70,A/Bilthoven/93/1970,1970,VI/3A/75,A/Victoria/3/1975,1975,46,Smith2004
BI/93/70,A/Bilthoven/93/1970,1970,LE/360/86,A/Leningrad/360/1986,1986,<10,Smith2004
BI/93/70,A/Bilthoven/93/1970,1970,TE/1A/77,A/Texas/1/1977,1977,<20,Smith2004
BI/93/70,A/Bilthoven/93/1970,1970,AM/1609/77,A/Amsterdam/1609/1977,1977,<20,Smith2004
